full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Johann Berg,29,World Cup,2018,Midfielder,Iceland,153,90,63,Iceland,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.18,77,77,0,0,0,-1,-1,-1,9
Gylfi Sigurdsson,30,World Cup,2018,Midfielder,Iceland,270,90,180,Iceland,3,1,2,1,1,0,0,0,0,1,1,0,0,0,4,1,3,0,0,0.33,0,0.33,1,0,270,1.33,68,90,0,0,0,-1,-1,-1,1
Alfred Finnbogason,31,World Cup,2018,Forward,Iceland,264,85,179,Iceland,3,1,2,1,0,1,0,0,0,0,0,0,0,0,4,1,3,1,0,0.34,0,0.34,0,0.5,264,1.36,66,88,264,0,0.34,-1,-1,-1,2
Rurik Gaslason,32,World Cup,2018,Midfielder,Iceland,117,0,117,Iceland,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1.54,59,59,0,0,0,-1,-1,-1,8
Ari Freyr Skelason,32,World Cup,2018,Defender,Iceland,17,0,17,Iceland,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,7
Bjorn Sigurdarson,29,World Cup,2018,Forward,Iceland,39,19,20,Iceland,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.31,39,13,0,0,0,-1,-1,-1,6
Samuel Friensson,24,World Cup,2018,Midfielder,Iceland,0,0,0,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Albert Gudmundsson,22,World Cup,2018,Midfielder,Iceland,5,5,0,Iceland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,-1,5
Sverrir Ingi Ingason,26,World Cup,2018,Defender,Iceland,115,90,25,Iceland,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.57,58,58,0,0,0,-1,-1,-1,4
Frederik August Albrecht Schram,25,World Cup,2018,Goalkeeper,Iceland,0,0,0,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Renar Alex Ranarsson,25,World Cup,2018,Goalkeeper,Iceland,0,0,0,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Helmar Arn Ederson,29,World Cup,2018,Defender,Iceland,0,0,0,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alafur Ingi Skelason,36,World Cup,2018,Midfielder,Iceland,0,0,0,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Arner Ingvi Traustason,26,World Cup,2018,Midfielder,Iceland,0,0,0,Iceland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jon Dani varsson,27,World Cup,2018,Forward,Iceland,71,0,71,Iceland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.27,71,71,0,0,0,-1,-1,-1,17
Pedro David Gallese Quirez,30,World Cup,2018,Goalkeeper,Peru,270,90,180,Peru,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0.67,135,90,0,0,0,-1,-1,-1,3
Alberto Junior Rodriguez,35,World Cup,2018,Defender,Peru,136,90,46,Peru,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.32,68,68,0,0,0,-1,-1,-1,10
Christian Guillermo Martin Ramos Garagay,31,World Cup,2018,Defender,Peru,270,90,180,Peru,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0.67,135,90,0,0,0,-1,-1,-1,16
Luis Jan Piers Advincula Castrillas,30,World Cup,2018,Defender,Peru,270,90,180,Peru,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0.67,135,90,0,0,0,-1,-1,-1,15
Miguel Angel Trauco Saavedra,27,World Cup,2018,Defender,Peru,270,90,180,Peru,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0.67,135,90,0,0,0,-1,-1,-1,14
Victor Yoshimar Flores,29,World Cup,2018,Midfielder,Peru,182,90,92,Peru,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0.99,91,61,182,0,0.49,-1,-1,-1,13
Christian Alberto Cueva Bravo,28,World Cup,2018,Midfielder,Peru,262,90,172,Peru,3,1,2,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0.69,131,87,0,0,0,-1,-1,-1,12
Renato Fabrizio Tapia Cortijo,24,World Cup,2018,Midfielder,Peru,150,87,63,Peru,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0.6,150,75,150,0,0.6,-1,-1,-1,11
Andison Michael Flores Peralta,25,World Cup,2018,Forward,Peru,242,62,180,Peru,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0.74,121,81,0,0,0,-1,-1,-1,9
Jefferson Agustin Farfin Guadalupe,35,World Cup,2018,Forward,Peru,129,85,44,Peru,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.7,129,65,0,0,0,-1,-1,-1,4
Andre Martin Carrillo Diaz,28,World Cup,2018,Forward,Peru,259,90,169,Peru,3,1,2,1,0,1,0,0,0,0,0,1,0,1,2,1,1,0,0,0.35,0,0.35,0,0.53,259,0.69,130,86,0,0,0,-1,-1,-1,2
Jose Paolo Guerrero,36,World Cup,2018,Forward,Peru,208,28,180,Peru,3,0,2,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0.87,0.43,0.43,0,0.5,208,0.43,208,69,208,208,0.43,-1,-1,-1,1
Raul Mario Ruidiaz Misitich,29,World Cup,2018,Forward,Peru,13,5,8,Peru,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,8
Pedro Jesus Aquino Sanchez,24,World Cup,2018,Midfielder,Peru,137,3,134,Peru,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.66,137,46,137,0,0.66,-1,-1,-1,7
Aldo Sebastien Corzo Chevez,30,World Cup,2018,Defender,Peru,0,0,0,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Anderson Santamara Bardales,28,World Cup,2018,Defender,Peru,134,0,134,Peru,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,-1,-1,-1,6
Miguel Gianpierre Araujo Blanco,25,World Cup,2018,Defender,Peru,0,0,0,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Christopher Paolo Cesar Hurtado Huertas,29,World Cup,2018,Midfielder,Peru,27,0,27,Peru,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,27,27,0,3.33,-1,-1,-1,5
Carlos Alberto Ceceda Oyaguez,28,World Cup,2018,Goalkeeper,Peru,0,0,0,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andy Jorman Polo Andrade,25,World Cup,2018,Forward,Peru,0,0,0,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Wilder Jose Cartagena Mendoza,25,World Cup,2018,Midfielder,Peru,11,0,11,Peru,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,17
Jose Aurelio Carvallo Alonso,34,World Cup,2018,Goalkeeper,Peru,0,0,0,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Nilson Evair Loyola Morales,25,World Cup,2018,Defender,Peru,0,0,0,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kasper Schmeichel,33,World Cup,2018,Goalkeeper,Denmark,360,180,180,Denmark,4,2,2,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,142,139,6,10
Simon Kjar,30,World Cup,2018,Defender,Denmark,360,180,180,Denmark,4,2,2,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,141,138,4,11
Henrik Dalsgaard,30,World Cup,2018,Defender,Denmark,360,180,180,Denmark,4,2,2,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,140,137,5,17
Jens Larsen,29,World Cup,2018,Defender,Denmark,270,180,90,Denmark,3,2,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0.33,270,90,0,0,0,-1,-1,-1,16
Andreas Christensen,23,World Cup,2018,Defender,Denmark,307,180,127,Denmark,4,2,2,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0.59,154,77,0,0,0,139,136,7,15
William Vitved Kvist Jergensen,35,World Cup,2018,Midfielder,Denmark,36,0,36,Denmark,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,-1,-1,-1,14
Thomas Delaney,28,World Cup,2018,Midfielder,Denmark,368,180,188,Denmark,4,2,2,0,0,0,1,0,1,0,0,2,1,1,2,1,1,1,0,0.24,0.24,0,0,0,0,0.49,184,92,368,368,0.24,138,27,-1,13
Christian Eriksen,28,World Cup,2018,Midfielder,Denmark,360,180,180,Denmark,4,2,2,1,1,0,1,0,1,0,0,2,1,1,2,1,1,0,0,0.5,0.25,0.25,0.5,0,360,0.5,180,90,0,360,0,40,23,-1,3
Nicolai Jergensen,29,World Cup,2018,Forward,Denmark,182,68,114,Denmark,3,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0.49,0.49,0,0,0,0,0.49,182,61,0,182,0,-1,-1,-1,12
Yussuf Poulsen,25,World Cup,2018,Forward,Denmark,239,59,180,Denmark,3,1,2,1,0,1,0,0,0,0,0,1,0,1,2,1,1,2,0,0.38,0,0.38,0,0.5,239,0.75,120,80,120,0,0.75,-1,-1,-1,1
Pione Sisto,25,World Cup,2018,Forward,Denmark,202,150,52,Denmark,4,2,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0.45,202,51,202,0,0.45,-1,-1,-1,4
Lasse ,33,World Cup,2018,Forward,Denmark,188,90,98,Denmark,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.48,188,63,0,0,0,-1,-1,-1,9
Martin Braithwaite,28,World Cup,2018,Forward,Denmark,249,121,128,Denmark,4,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0.36,249,62,0,0,0,-1,-1,-1,8
Mathias Jattah-Njie,29,World Cup,2018,Defender,Denmark,189,90,99,Denmark,3,1,1,1,0,1,0,0,0,0,0,2,1,1,1,0,1,2,0,0.48,0,0.48,0,0.91,189,0.48,189,63,95,0,0.95,-1,-1,-1,2
Michael Krohn-Dehli,36,World Cup,2018,Midfielder,Denmark,-8,0,-8,Denmark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jannik Vestergaard,27,World Cup,2018,Defender,Denmark,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jonas Knudsen,27,World Cup,2018,Defender,Denmark,90,0,90,Denmark,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,7
Kasper Dolberg,22,World Cup,2018,Forward,Denmark,15,15,0,Denmark,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-1,-1,-1,6
Viktor Fischer,25,World Cup,2018,Forward,Denmark,30,30,0,Denmark,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,-1,-1,-1,5
Jonas,31,World Cup,2018,Goalkeeper,Denmark,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Lukas Lerager,26,World Cup,2018,Midfielder,Denmark,0,0,0,Denmark,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andreas Cornelius,27,World Cup,2018,Forward,Denmark,163,97,66,Denmark,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.55,163,54,0,0,0,-1,-1,-1,18
Frederik Rennow,27,World Cup,2018,Goalkeeper,Denmark,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Danijel Subacic,35,World Cup,2018,Goalkeeper,Croatia,540,270,270,Croatia,6,3,3,0,0,0,0,0,0,0,0,2,1,1,7,2,5,0,0,0,0,0,0,0,0,1.17,77,90,0,0,0,137,135,48,14
Domagoj Vida,30,World Cup,2018,Defender,Croatia,540,270,270,Croatia,6,3,3,1,0,1,1,0,1,0,0,2,1,1,7,2,5,1,0,0.33,0.17,0.17,0,0.33,540,1.17,77,90,540,540,0.17,55,40,47,8
Ivan Strinic,32,World Cup,2018,Defender,Croatia,511,266,245,Croatia,6,3,3,0,0,0,0,0,0,0,0,2,1,1,7,2,5,1,0,0,0,0,0,0,0,1.23,73,85,511,0,0.18,136,134,49,20
Dejan Lovren,30,World Cup,2018,Defender,Croatia,561,270,291,Croatia,7,3,3,0,0,0,0,0,0,0,0,2,1,1,8,2,6,1,0,0,0,0,0,0,0,1.28,70,80,561,0,0.16,135,133,56,19
Aime Vrsaljko,28,World Cup,2018,Defender,Croatia,547,270,277,Croatia,6,3,3,0,0,0,1,1,0,0,0,2,1,1,7,2,5,2,0,0.16,0.16,0,0,0,0,1.15,78,91,274,547,0.33,134,45,46,18
Luka Modric,34,World Cup,2018,Midfielder,Croatia,634,299,335,Croatia,7,3,4,2,1,1,1,0,1,1,1,2,1,1,7,2,5,0,0,0.43,0.14,0.28,0.3,0.27,317,0.99,91,91,0,634,0,26,48,-1,3
Ivan Rakitic,32,World Cup,2018,Midfielder,Croatia,548,270,278,Croatia,7,3,3,1,0,1,0,0,0,0,0,2,1,1,7,2,5,1,0,0.16,0,0.16,0,0.32,548,1.15,78,78,548,0,0.16,57,131,-1,6
Ivan Perisic,31,World Cup,2018,Midfielder,Croatia,602,277,325,Croatia,7,3,4,3,1,2,1,1,0,0,0,2,1,1,8,2,6,0,0,0.6,0.15,0.45,0.32,0.55,201,1.2,75,86,0,602,0,13,47,-1,2
Mario Mandzukic,33,World Cup,2018,Forward,Croatia,579,309,270,Croatia,6,3,3,3,2,1,1,0,1,0,0,2,1,1,7,2,5,2,0,0.62,0.16,0.47,0.58,0.33,193,1.09,83,97,290,579,0.31,12,44,-1,1
Andrej Kramaric,28,World Cup,2018,Forward,Croatia,272,42,230,Croatia,7,1,2,1,0,1,0,0,0,0,0,2,1,1,2,0,2,0,0,0.33,0,0.33,0,0.39,272,0.66,136,39,0,0,0,18,118,-1,7
Ante Rebic,26,World Cup,2018,Forward,Croatia,487,269,218,Croatia,6,3,3,1,0,1,0,0,0,0,0,2,1,1,7,2,5,2,0,0.18,0,0.18,0,0.41,487,1.29,70,81,244,0,0.37,49,130,-1,4
Marcelo Brozovic,27,World Cup,2018,Midfielder,Croatia,398,191,207,Croatia,6,2,2,0,0,0,1,0,1,0,0,2,1,1,6,2,4,1,0,0.23,0.23,0,0,0,0,1.36,66,66,398,398,0.23,132,29,-1,17
Mateo Kovacic,25,World Cup,2018,Midfielder,Croatia,123,31,92,Croatia,5,0,1,0,0,0,1,0,1,0,0,2,1,1,1,0,1,0,0,0.73,0.73,0,0,0,0,0.73,123,25,0,123,0,-1,-1,-1,16
Marko Pjaca,24,World Cup,2018,Midfielder,Croatia,82,4,78,Croatia,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,82,0,1.1,-1,-1,-1,15
Dominik Livakovic,25,World Cup,2018,Goalkeeper,Croatia,0,0,0,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Vedran orluka,34,World Cup,2018,Defender,Croatia,58,-25,83,Croatia,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.55,58,15,58,0,1.55,-1,-1,-1,9
Lovre Kalinic,29,World Cup,2018,Goalkeeper,Croatia,90,0,90,Croatia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,13
Tin Jedvaj,24,World Cup,2018,Defender,Croatia,90,0,90,Croatia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,90,90,90,0,1,-1,-1,-1,12
Filip Bradaric,26,World Cup,2018,Midfielder,Croatia,25,0,25,Croatia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.6,25,25,0,0,0,-1,-1,-1,11
Duje ,23,World Cup,2018,Defender,Croatia,90,0,90,Croatia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,10
Nikola Kalinic,32,World Cup,2018,Forward,Croatia,0,0,0,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Milan Badelj,31,World Cup,2018,Midfielder,Croatia,43,-47,90,Croatia,3,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,4.19,2.09,2.09,0,1,43,2.09,43,14,0,43,0,-1,-1,-1,5
Josip Pivaric,31,World Cup,2018,Defender,Croatia,110,4,106,Croatia,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.82,110,28,110,0,0.82,-1,-1,-1,21
Francis Odinaka Uzoho,21,World Cup,2018,Goalkeeper,Nigeria,270,180,90,Nigeria,3,2,1,0,0,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,1.33,68,90,0,0,0,-1,-1,-1,3
Leon Balogun,31,World Cup,2018,Defender,Nigeria,270,180,90,Nigeria,3,2,1,0,0,0,0,0,0,0,0,1,1,0,4,2,2,1,0,0,0,0,0,0,0,1.33,68,90,270,0,0.33,-1,-1,-1,4
William Troost-Ekong,26,World Cup,2018,Defender,Nigeria,270,180,90,Nigeria,3,2,1,0,0,0,0,0,0,0,0,1,1,0,4,2,2,1,0,0,0,0,0,0,0,1.33,68,90,270,0,0.33,-1,-1,-1,5
Brian Oladapo Idowu,27,World Cup,2018,Defender,Nigeria,226,136,90,Russia,3,2,1,0,0,0,0,0,0,0,0,1,1,0,4,2,2,1,0,0,0,0,0,0,0,1.59,57,75,226,0,0.4,-1,-1,-1,6
Abdullahi Shehu,27,World Cup,2018,Defender,Nigeria,90,0,90,Nigeria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,7
John Michael Nchekwube Obinna,32,World Cup,2018,Midfielder,Nigeria,268,180,88,Nigeria,3,2,1,0,0,0,0,0,0,0,0,1,1,0,4,2,2,1,0,0,0,0,0,0,0,1.34,67,89,268,0,0.34,-1,-1,-1,8
Victor Moses,29,World Cup,2018,Midfielder,Nigeria,270,180,90,Nigeria,3,2,1,1,1,0,1,1,0,1,0,1,1,0,4,2,2,0,0,0.67,0.33,0.33,0.5,0,270,1.33,68,90,0,270,0,-1,-1,-1,2
Alex Iwobi,23,World Cup,2018,Forward,Nigeria,62,0,62,Nigeria,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.45,62,21,0,0,0,-1,-1,-1,9
Onyinye Wilfred Ndidi,23,World Cup,2018,Midfielder,Nigeria,270,180,90,Nigeria,3,2,1,0,0,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,1.33,68,90,0,0,0,-1,-1,-1,10
Oghenekaro Etebo,24,World Cup,2018,Forward,Nigeria,270,180,90,Nigeria,3,2,1,0,0,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,1.33,68,90,0,0,0,-1,-1,-1,11
Odion Jude Ighalo,30,World Cup,2018,Forward,Nigeria,122,49,73,Nigeria,3,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,2.21,41,41,0,0,0,-1,-1,-1,12
Ahmed Musa,27,World Cup,2018,Forward,Nigeria,208,180,28,Nigeria,3,2,0,2,2,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0.87,0,0.87,1,0,104,1.3,69,69,0,0,0,-1,-1,-1,1
Kelechi Iheanacho,23,World Cup,2018,Forward,Nigeria,148,131,17,Nigeria,3,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.61,148,49,0,0,0,-1,-1,-1,13
Simy,27,World Cup,2018,Forward,Nigeria,2,0,2,Nigeria,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,14
Ikechukwu Ezenwa,31,World Cup,2018,Goalkeeper,Nigeria,0,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Elderson Uwa Echiejile,32,World Cup,2018,Defender,Nigeria,0,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joel Obi,28,World Cup,2018,Midfielder,Nigeria,0,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel Akpeyi,34,World Cup,2018,Goalkeeper,Nigeria,0,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ogenyi Eddy Onazi,27,World Cup,2018,Midfielder,Nigeria,0,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
John Ogochukwu Ogu,31,World Cup,2018,Midfielder,Nigeria,0,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Chidozie Awaziem,23,World Cup,2018,Defender,Nigeria,0,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Tyronne Ebuehi,24,World Cup,2018,Defender,Nigeria,44,44,0,Nigeria,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,-1,-1,-1,15
Kenneth Josiah Omeruo,26,World Cup,2018,Defender,Nigeria,180,180,0,Nigeria,2,2,0,0,0,0,1,1,0,0,0,1,1,0,2,2,0,0,0,0.5,0.5,0,0,0,0,1,90,90,0,180,0,-1,-1,-1,16
Keylor Navas,33,World Cup,2018,Goalkeeper,Costa Rica,270,90,180,Costa Rica,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,9
Oscar Esau Duarte Gaiten,30,World Cup,2018,Defender,Costa Rica,180,90,90,Costa Rica,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,-1,-1,-1,10
Cristian Gamboa Luna,30,World Cup,2018,Defender,Costa Rica,255,90,165,Costa Rica,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1.06,85,85,255,0,0.35,-1,-1,-1,17
Giancarlo Gonzalez,32,World Cup,2018,Defender,Costa Rica,270,90,180,Costa Rica,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,16
Jhonny Acosta Zamora,36,World Cup,2018,Defender,Costa Rica,270,90,180,Costa Rica,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,90,90,270,0,0.33,-1,-1,-1,15
Francisco Javier Calvo Quesada,27,World Cup,2018,Defender,Costa Rica,105,90,15,Costa Rica,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.86,105,53,105,0,0.86,-1,-1,-1,14
Celso Borges,31,World Cup,2018,Midfielder,Costa Rica,270,90,180,Costa Rica,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,13
